,logreg_coef,rf_importance,rf_importance_rank
fea_4,-0.6321537357153294,0.1341740202659903,1.0
pay_normal_sum,-0.24847910872051418,0.08971646176280192,2.0
prod_limit_max,-0.11346643390071087,0.07826940960227506,3.0
new_balance_mean,0.0227369560679978,0.06688907150101651,4.0
highest_balance_mean,0.3977226218982871,0.05871960390432864,5.0
highest_balance_max,0.7556752819215549,0.056617809918478236,6.0
new_balance_max,0.2754064720366946,0.05578255105736842,7.0
prod_limit_mean,0.13127416438558967,0.055372489833820426,8.0
fea_2,-0.04735186201640405,0.04321862864739996,9.0
n_payment_records,-0.5272539667002111,0.03919112529302883,10.0
fea_10,0.09089658198189486,0.0391567468877519,11.0
fea_8,-0.09869246258143233,0.03912680185085892,12.0
overdue_ratio,0.14971156714092684,0.03885568554014046,13.0
fea_11,0.08395283932101262,0.029700585513012842,14.0
ovd_days_sum,0.08748314436157596,0.025617862151519056,15.0
ovd_t1_sum,0.13282780978387082,0.021803040002554466,16.0
ovd_t2_sum,0.10554735440127352,0.013058198088177894,17.0
fea_6_11,0.14461682831882106,0.012570646427420784,18.0
n_products,0.3099281555649461,0.011282598734232848,19.0
fea_1_7,0.060591355950908206,0.010272452186156855,20.0
fea_1_4,-0.04404549146107782,0.009635415423496675,21.0
fea_6_8,-0.03624492927433512,0.00904642286286491,22.0
ovd_t3_sum,-0.17298554122126147,0.008466681935203066,23.0
fea_9_4,-0.2715881806511022,0.007596428059056081,24.0
fea_7_5,-0.17943837168204688,0.00636947705051973,25.0
fea_3_3,0.25175159103410794,0.006058154032769088,26.0
fea_7_9,-0.20878096906550075,0.00474354323002316,27.0
fea_9_3,-0.10920519572671034,0.004368785511025453,28.0
fea_6_15,0.025991046243259035,0.004352589640490544,29.0
fea_9_5,-0.12784095406406107,0.004048299288254195,30.0
fea_1_5,0.009120221114111936,0.003886370641132917,31.0
fea_3_2,0.20935332749276378,0.0030468664850468547,32.0
fea_5_2,0.03569115401332387,0.0028607067500169667,33.0
fea_6_12,-0.48911810692535607,0.001287824951217832,34.0
fea_1_2,0.1549866561147852,0.0012724406690469614,35.0
fea_7_2,-0.06395094934194147,0.0011149705906465545,36.0
fea_7_4,-0.44013622761619425,0.0004795205534399935,37.0
fea_7_3,-0.01106316748073099,0.00037783437273260836,38.0
fea_7_7,-0.011846681402745982,0.0003353002889466761,39.0
fea_6_16,-0.20610113403693678,0.0003206772455634532,40.0
fea_7_10,-0.28518593029788164,0.00021050989610360755,41.0
fea_7_8,-0.06813275551734031,0.00020505990511002095,42.0
fea_6_4,-0.30127348807786364,0.000193835551138386,43.0
fea_6_5,0.12273988441233134,0.00016553073117860236,44.0
fea_6_6,-0.14031441961012694,9.32512507805713e-05,45.0
fea_1_6,-0.14031441961012694,6.684444435342373e-05,46.0
fea_6_9,-0.10823436242029075,8.694715072933313e-07,47.0
fea_7_1,-0.16837370053119807,0.0,48.5
fea_9_2,0.0,0.0,48.5
